┌───────────────┬────────────┐
│   language    │ book_count │
├───────────────┼────────────┤
│               │ 1          │
│ 9780674842113 │ 1          │
│ 9780851742717 │ 1          │
│ ara           │ 1          │
│ en-CA         │ 3          │
│ en-GB         │ 159        │
│ en-US         │ 1040       │
│ eng           │ 6815       │
│ enm           │ 3          │
│ fre           │ 113        │
│ ger           │ 73         │
│ glg           │ 1          │
│ grc           │ 11         │
│ ita           │ 3          │
│ jpn           │ 46         │
│ lat           │ 3          │
│ mul           │ 19         │
│ nl            │ 1          │
│ nor           │ 1          │
│ por           │ 4          │
│ spa           │ 156        │
│ srp           │ 1          │
│ swe           │ 2          │
│ wel           │ 1          │
│ zho           │ 13         │
└───────────────┴────────────┘
